,nfail,R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0
-3431.072569821554,0,31.3249,0.388362,73.05,0.000646983,45.66,0.4598709,0.1462546,0.03399189,0.000233633,4.22e-7,0.9657741
-3495.2991328131375,0,29.275198065804105,0.37866750403040844,73.04999999999345,0.00020540549405324984,45.65999999999674,0.45880585753930636,0.148140760792655,0.061590689996620124,0.0007654383446921536,0.0000015824798330348242,0.9376422891788547
-3561.5573413487227,0,28.512978482198744,0.40570564614662713,73.04999999999434,0.0003653298261027851,45.65999999999634,0.5054250301938671,0.16632690036594033,0.09274674379767185,0.0004299687610419102,0.0000027307484730381854,0.9068205566928133
-3774.8194787539933,0,27.75268627490195,0.32376284735620825,73.04999999999474,0.0006328340102923216,45.65999999999695,0.428458298088735,0.14433520198549496,0.049509417669464297,0.00008283076766260282,0.0000011510603248456387,0.9504066005025482
-3662.9844555668287,0,29.47962442118793,0.405515514606522,73.04999999999318,0.0005530767069114096,45.659999999996444,0.4413768195275583,0.1984797001351053,0.015545256870442396,0.00010378452274577347,6.458606046130026e-7,0.9843503127462071
,,29.470323219625342,0.37570344068605854,73.04999999999272,0.0004998409364418868,45.659999999995875,0.4191399879755145,0.24550382972481136,0.02351053593090289,0.0001020614518643421,5.538802571341755e-7,0.9763868487369757
